Classifier,precision,recall,f1-score,support
Naive Bayes,0.42857142857142855,0.75,0.5454545454545454,4.0
Naive Bayes,0.0,0.0,0.0,4.0
Naive Bayes,0.375,0.375,0.375,0.375
Naive Bayes,0.21428571428571427,0.375,0.2727272727272727,8.0
Naive Bayes,0.21428571428571427,0.375,0.2727272727272727,8.0
KNN,0.5,0.5,0.5,4.0
KNN,0.5,0.5,0.5,4.0
KNN,0.5,0.5,0.5,0.5
KNN,0.5,0.5,0.5,8.0
KNN,0.5,0.5,0.5,8.0
Logistic Regression,0.6,0.75,0.6666666666666666,4.0
Logistic Regression,0.6666666666666666,0.5,0.5714285714285714,4.0
Logistic Regression,0.625,0.625,0.625,0.625
Logistic Regression,0.6333333333333333,0.625,0.6190476190476191,8.0
Logistic Regression,0.6333333333333333,0.625,0.6190476190476191,8.0
Decision Tree,0.0,0.0,0.0,4.0
Decision Tree,0.3333333333333333,0.5,0.4,4.0
Decision Tree,0.25,0.25,0.25,0.25
Decision Tree,0.16666666666666666,0.25,0.2,8.0
Decision Tree,0.16666666666666666,0.25,0.2,8.0
Random Forest,0.6,0.75,0.6666666666666666,4.0
Random Forest,0.6666666666666666,0.5,0.5714285714285714,4.0
Random Forest,0.625,0.625,0.625,0.625
Random Forest,0.6333333333333333,0.625,0.6190476190476191,8.0
Random Forest,0.6333333333333333,0.625,0.6190476190476191,8.0
Gradient Boosting,0.0,0.0,0.0,4.0
Gradient Boosting,0.3333333333333333,0.5,0.4,4.0
Gradient Boosting,0.25,0.25,0.25,0.25
Gradient Boosting,0.16666666666666666,0.25,0.2,8.0
Gradient Boosting,0.16666666666666666,0.25,0.2,8.0
